Ar_CommonGroup 搴旂敤鎬绘暟: 1170

鍞竴杩涚▼鍚? 965

================================================================================
ManicTime 鎵€鏈夊簲鐢紙CommonId | 杩涚▼鍚?| 鏄剧ず鍚?| 棰滆壊锛?
================================================================================
    919  mmc.exe                                                                                  #DC0D0A
   1294  mmc.exe                                        Microsoft Defender 闃茬梾姣掓湇鍔?鐨勫睘鎬?鏈湴璁＄畻鏈?       #DC0D0A
   1990  dxdiag.exe                                     Microsoft DirectX 璇婃柇宸ュ叿                    #0000E5
      1  msedge.exe                                     Microsoft Edge                            #0C3762
   1310  mmc.exe                                        Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
    567  microsoftedgeupdate.exe                        Microsoft Edge Update                     #0000E5
   1311  mmc.exe                                        Microsoft Edge Update Service (edgeupdatem) 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   1653  msedgewebview2.exe                             Microsoft Edge WebView2                   #0B3158
     89  excel.exe                                      Microsoft Excel                           #3D783F
    134  gethelp.exe                                    Microsoft Get Help                        #0D4B74
    889  mmc.exe                                        Microsoft Office Click-to-Run Service 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
     52  onenote.exe                                    Microsoft OneNote                         #9415CA
     53  onenotem.exe                                   Microsoft OneNote                         #9415CA
    683  phoneexperiencehost.exe                        Microsoft Phone Link                      #165A7F
    124  powerpnt.exe                                   Microsoft PowerPoint                      #EC1633
   2359  dtswizard.exe                                  Microsoft SQL Server                      #5686F0
   1999  landingpage.exe                                Microsoft SQL Server                      #CC6600
   2002  profiler.exe                                   Microsoft SQL Server                      #31B42B
   2000  scenarioengine.exe                             Microsoft SQL Server                      #CC6600
   2016  ssms.exe                                       Microsoft SQL Server                      #E8A600
   1998  ssms-setup-chs.exe                             Microsoft SQL Server Management Studio - 17.3  #CF6FCA
     42  winstore.app.exe                               Microsoft Store                           #4492F1
   2294  mmc.exe                                        Microsoft Store 瀹夎鏈嶅姟 鐨勫睘鎬?鏈湴璁＄畻鏈?           #DC0D0A
   1626  vcredist_x64_vs2010.exe                        Microsoft Visual C++ 2010  x64 Redistributable  #7F7F00
   1175  vcredist_x86.exe                               Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664  #00E5E5
    296  vc_redist.x64.exe                              Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433  #00E5E5
    292  vc_redist.x86.exe                              Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810  #00E5E5
   2001  vsta_ls.exe                                    Microsoft Visual Studio Tools for Applications 2015 Language Support  #622F6F
   2130  vsta_ls.exe                                    Microsoft Visual Studio Tools for Applications 2015 璇█鏀寔  #622F6F
    917  mmc.exe                                        Microsoft Windows                         #DC0D0A
   1784  鍚姩鍣ㄨ繍琛屼緷璧?dotnet-6.0.11.exe                      Microsoft Windows Desktop Runtime - 6.0.11 (x64)  #00E5E5
   1702  windowsdesktop-runtime-6.0.36-win-x64.exe      Microsoft Windows Desktop Runtime - 6.0.36 (x64)  #00E5E5
    190  windowsdesktop-runtime-8.0.10-win-x64.exe      Microsoft Windows Desktop Runtime - 8.0.10 (x64)  #00E5E5
     23  winword.exe                                    Microsoft Word                            #0043ED
    617  vsdebugconsole.exe                             Microsoft 庐 Visual Studio 庐               #543776
   2544  wscript.exe                                    Microsoft 庐 Windows Script Host           #7F0000
    445  mmc.exe                                        Microsoft 鍩烘湰鏄剧ず閫傞厤鍣?灞炴€?                     #DC0D0A
    337  helppane.exe                                   Microsoft 甯姪鍜屾敮鎸?                          #00A5DD
   1638  mmc.exe                                        Microsoft 绠＄悊鎺у埗鍙?                          #DC0D0A
    591  setup.exe                                      Microsoft庐 .NET Framework                 #0052F8
    149  devenv.exe                                     Microsoft庐 Visual Studio庐                 #604F7E
   2596  servicehub.threadedwaitdialog.exe              Microsoft庐 Visual Studio庐                 #0D4B74
     54  screenclippinghost.exe                         Microsoft庐 Windows庐 Operating System      #0D4B74
     17  searchhost.exe                                 Microsoft庐 Windows庐 Operating System      #0D4B74
   1415  textinputhost.exe                              Microsoft庐 Windows庐 Operating System      #0D4B74
    286  webexperiencehostapp.exe                       Microsoft庐 Windows庐 Operating System      #264F83
    142  widgets.exe                                    Microsoft庐 Windows庐 Operating System      #0D4B74
    824  dfrgui.exe                                     Microsoft庐 椹卞姩鍣ㄤ紭鍖栫▼搴?                       #C80003
    847  minecraft.exe                                  Minecraft                                 #0D4B74
    799  minecraft.windows.exe                          Minecraft                                 #6D3917
   2503  mineradio-1.1.1-setup.exe                      Mineradio                                 #5AB5D8
   2504  mineradio.exe                                  Mineradio                                 #B98938
    704  guimain.exe                                    mingw-get                                 #B04A4A
    702  mingw-get-setup.exe                            mingw-get                                 #B04A4A
    229  minimalism.exe                                 Minimalism                                                        #044B33
    833  mintty.exe                                     mintty                                    #6C4D69
    879  mmc.exe                                        MiPlayCastService 鐨勫睘鎬?鏈湴璁＄畻鏈?              #DC0D0A
    859  mmc.exe                                        MiService 鐨勫睘鎬?鏈湴璁＄畻鏈?                      #DC0D0A
   2573  miserviceprivacy.exe                           MiServicePrivacy                          #0071EB
    549  miside voice editor.exe                        Miside Voice Editor                       #261C61
    619  misidefull.exe                                 MiSideFull                                #0042C7
    815  miuserlogon.exe                                MiUserLogon                               #DF5C00
   2572  miusewizard.exe                                MiUseWizard                               #DF5C00
    265  mixedrealityportal.exe                         Mixed Reality Portal                      #045A85
   1518  mkvcleaver.exe                                 MKVCleaver                                #0368C2
   1517  mkvtoolnix-gui.exe                             MKVToolNix                                #6E0000
    457  setuphost.exe                                  Modern Setup Host                         #5480BE
   1306  moekoe music.exe                               MoeKoe Music                              #D51E34
   1305  moekoe_music_setup_v1.4.8 (1).exe              MoeKoe Music                              #D51E34
   1943  molili.exe                                     Molili                                    #0000FE
   1867  mmc.exe                                        MongoDB Server (MongoDB) 鐨勫睘鎬?鏈湴璁＄畻鏈?       #DC0D0A
   1655  mongodbcompass.exe                             MongoDBCompass                            #007957
   1576  moo0 audiorecorder v1.49 installer.exe         Moo0 Installer                            #D0F13F
   1687  mosquitto-2.0.22-install-windows-x64 (1).exe   mosquitto-2.0                             #D77265
   1983  aresonmousetest.exe                            Mouse Test 2007 Application               #7F7F00
   1572  mp3recorder_setup.tmp                          mp3recorder_setup                         #E0F380
   1643  mp3tag-3.23.0.0.exe                            Mp3tag                                    #F8AB26
   1644  mp3tag.exe                                     Mp3tag                                    #0000BF
   1521  mplayer.exe                                    MPlayer - The Movie Player                #5291EF
     43  mpv.exe                                        mpv                                       #630063
   1685  mqttx-setup-1.12.1-x64.exe                     MQTTX                                     #15F497
   1686  mqttx.exe                                      MQTTX                                     #15F497
   1935  mspcmanager.exe                                MSPCManager                               #064576
   1444  nemu-downloader.exe                            MuMu Player Installer                     #8D5B48
   1445  mumuplayer.exe                                 MuMuPlayer                                #0088F0
   2506  musicplayer2.exe                               MusicPlayer2                              #FEFE00
   2509  musicplayer2-gw-setup-1.0.0.tmp                MusicPlayer2                                                  #225E70
   2515  musicplayer2-gw-setup-1.1.0.tmp                MusicPlayer2                                                  #281784
   2516  musicplayer2-gw-setup-1.3.0.tmp                MusicPlayer2                                                  #506C1D
   2519  musicplayer2-gw-setup-1.8.0.tmp                MusicPlayer2                                                  #43E291
   2521  musicplayer2-gw-setup-2.0.0.tmp                MusicPlayer2                                                  #7B5DDB
   2522  musicplayer2-gw-setup-2.1.0.tmp                MusicPlayer2                                                  #AB0455
    607  mysqlinstaller.exe                             MySQL Installer                           #00B2F3
   1032  mmc.exe                                        MySQL80 鐨勫睘鎬?鏈湴璁＄畻鏈?                        #DC0D0A
    840  mytime_setup_1.29.exe                          mytime_setup_1                            #CDA13D
    313  n0vadesktop.exe                                N0vaDesktop.exe                           #54BABC
     41  nahimic3.exe                                   Nahimic                                   #265082
   1731  mmc.exe                                        Nahimic service 鐨勫睘鎬?鏈湴璁＄畻鏈?                #DC0D0A
    209  nahimicrestoretool_1.0.7.exe                   NahimicRestoreTool                        #22F3D5
    905  natsurainko.fluentlauncher.exe                 Natsurainko.FluentLauncher                #794523
    611  navicat.exe                                    Navicat Premium                           #B49000
    610  navicat160_premium_cs_x64.tmp                  Navicat Premium 16                                            #E90858
   1027  nbcode64.exe                                   nbcode64                                  #AB5200
   2264  neoforge-21.1.230-installer.jar                neoforge-21.1.230-installer.jar           #5A5AF9
   1264  net.exe                                        Net Command                               #0D4B74
   1145  netlimiter-5.3.18.0.exe                        NetLimiter                                #3777CB
   1129  netlimiter-5.3.25.0.exe                        NetLimiter                                #3777CB
   1130  nlclientapp.exe                                NetLimiter                                #3777CB
   1146  nlsvc.exe                                      NetLimiter                                #0D4B74
   1961  mmc.exe                                        NetLimiter Service 鐨勫睘鎬?鏈湴璁＄畻鏈?             #DC0D0A
    114  nexusfont.exe                                  nexusfont                                 #7D4D32
   2092  ngr-win64-shipping.exe                         NGR-Win64-Shipping                        #007FFE
     98  multisim.exe                                   NI Circuit Design Suite 14.0              #6B58E2
   1562  firefox.exe                                    Nightly                                   #174F87
   1173  node.exe                                       Node.js                                   #5A8A46
    899  nosuchplace.exe                                NoSuchPlace                               #010001
     15  notepad.exe                                    Notepad                                   #1795BC
    459  nvcontainer                                    nvcontainer                               #DAA000
    302  nvdisplay.container                            NVDisplay                                 #DAA000
    188  nvidia app.exe                                 NVIDIA App                                #3A5C00
    192  nvidia overlay.exe                             NVIDIA app                                #3A5C00
    304  nvcplui.exe                                    NVIDIA Control Panel                      #000800
   2428  mmc.exe                                        NVIDIA GeForce GTX 1060 灞炴€?               #DC0D0A
    432  mmc.exe                                        NVIDIA GeForce RTX 4060 Laptop GPU 灞炴€?    #DC0D0A
    392  nvidiainspector.exe                            NVIDIA Inspector                          #5C7B00
    300  setup.exe                                      NVIDIA Install Application                #3D9300
   1176  581.08-notebook-win10-win11-64bit-international-dch-whql.exe  NVIDIA Package Launcher                   #3A5C00
   1536  cuda_12.4.1_551.78_windows.exe                 NVIDIA Package Launcher                   #3A5C00
    327  nvidia_app_v11.0.1.163.exe                     NVIDIA 搴旂敤绋嬪簭                               #3A5C00
    456  nvidia_app_v11.0.1.184.exe                     NVIDIA 搴旂敤绋嬪簭                               #3A5C00
    391  nvidia_gpu_stats.exe                           nvidia_gpu_stats                          #0D4B74
   1663  game.exe                                       nwjs                                      #EC7A00
   1890  nzmclient.exe                                  NZMClient                                 #FD0000
    395  obsnotifier.exe                                OBS Notifier                              #740575
    587  9501-2024-12-30035851-1735545531478.exe        OBS Studio                                #111ECF
    179  obs64.exe                                      OBS Studio                                #C5F0DD
    724  ok autorobot.exe                               OK AutoRobot                              #9DF7B0
   2564  ollama.exe                                     ollama                                    #0D4B74
   2541  ollamasetup.exe                                Ollama                                                        #777F4A
   2542  ollamasetup.tmp                                Ollama                                                        #4BE6F1
   2543  ollama app.exe                                 ollama app                                #0D4B74
    177  aiassisent.exe                                 One Micro Bot - AI Assistant              #007FFE
   1980  mmc.exe                                        OneSyncSvc_71f09 鐨勫睘鎬?鏈湴璁＄畻鏈?               #DC0D0A
    794  onething-1c150132cad6bbf0b74d303ec7abe89f-package.exe  OneThingPcLite                            #210EF0
    372  onething-1ee3324ada65dcba440d089e3d8dcdcb-package.exe  OneThingPcLite                            #210EF0
    599  onething-4160ce9ff9cd3245e5bc6980221c30a8-package.exe  OneThingPcLite                            #210EF0
    600  onething-531553165ed938be19c61ea8007a7ad5-package.exe  OneThingPcLite                            #210EF0
    197  onething-85ae095a63207b934f0f8d1fc10005e1-package.exe  OneThingPcLite                            #210EF0
   1028  onething-dc647577207db4361139f95463181fb2-package.exe  OneThingPcLite                            #210EF0
     57  onethingpclite.exe                             OneThingPcLite                            #0000FE
   1960  onethingpclite_0.0.1.1_setup_pc-onethingcloud(1).exe  OneThingPcLite                            #210EF0
    793  onethingpclite_0.0.1.1_setup_pc-onethingcloud.exe  OneThingPcLite                            #210EF0
    697  onethingpclite_0.0.2.6_setup_pc-onethingcloud.exe  OneThingPcLite                            #210EF0
   1924  java.exe                                       OpenJDK Platform 17.0.18                  #5A5AF9
   1706  java.exe                                       OpenJDK Platform 21                       #5A5AF9
    941  javaw.exe                                      OpenJDK Platform 21                       #5A5AF9
   1912  java.exe                                       OpenJDK Platform 23.0.1                   #5A5AF9
    942  javaw.exe                                      OpenJDK Platform 23.0.1                   #5A5AF9
   2431  java.exe                                       OpenJDK Platform 25.0.1                   #5A5AF9
   1909  java.exe                                       OpenJDK Platform 8                        #5A5AF9
   1062  javaw.exe                                      OpenJDK Platform 8                        #5A5AF9
    991  packettracer6.exe                              PacketTracer6                             #9B7C00
    434  mspaint.exe                                    Paint                                     #147092
   1628  panotourpro_x64.exe                            Panotour Pro                              #0084DD
   1624  panotourpro_x64_258_2017-06-28.exe             PanotourPro_x64_258_2017-06-28            #F18000
    560  pc_etalien-setup-v0.4.7.tmp                    pc_ETALIEN-Setup-v0.4.7                   #D95528
    818  pcclipboard.exe                                PcClipboard                               #0D4B74
    113  pchealthcheck.exe                              PCHealthCheck                             #1A93E4
    849  pcl-1.15.0-allinone-win64 (1).exe              PCL-1.15                                  #54FD00
    716  pcstore.exe                                    PCStore                                   #08547D
    331  pdfconverter.exe                               PDFgear                                   #A80C0F
     22  pdfeditor.exe                                  PDFgear                                   #A80C0F
    589  9896-2025-01-02095334-1735782814548.tmp        PDFgear                                                       #3A9D8C
    170  pdflauncher.exe                                PDFLauncher                               #A80C0F
   2274  personnelmanagementsystem.exe                  PersonnelManagementSystem                 #0D4B74
   1989  pgadmin4.exe                                   pgAdmin 4                                 #7CBBEF
   1988  edb_pgjdbc.exe                                 pgJDBC                                    #B46F00
     40  photos.exe                                     Photos                                    #0D4B74
    940  plain craft launcher 2.exe                     Plain Craft Launcher                      #0063D5
   1847  plantsvszombies.exe                            Plants vs. Zombies                        #00BF00
    939  plantsvszombiesrh.exe                          PlantsVsZombiesRH                         #7D4B00
   1985  player2.exe                                    Player2                                   #0300D8
   2422  un_a.exe                                       Player2                                   #F37171
   1472  portal2.exe                                    portal2                                   #227A9A
   1986  postgresql-17.2-3-windows-x64.exe              PostgreSQL                                #B46F00
    164  pad.console.host.exe                           Power Automate                            #0063BB
    111  pad.console.host.exe                           PowerAutomateDesktopStub                  #0D4B74
   1022  prevhost.exe                                   Preview Handler Surrogate Host            #0D4B74
   1697  processhacker.exe                              Process Hacker                            #416508
   1696  processhacker-2.39-setup.tmp                   processhacker-2.39-setup                  #855AC7
    358  pcaui.exe                                      Program Compatibility Assistant User Interface  #0D4B74
   1147  madara.exe                                     Project X                                 #2A5652
   1669  project1.exe                                   Project1                                  #0D4B74
   1670  ps鍏ㄥ鎻掍欢涓€閿畨瑁呭寘pro 4.4.3.tmp                       Ps鍏ㄥ鎻掍欢涓€閿畨瑁呭寘Pro 4.4.3                      #8399CC
   1632  ptgui.exe                                      PTGui                                     #0065FC
   1635  ptguiviewer.exe                                PTGui                                     #6F90BA
   1637  ptgui13.3setup.exe                             PTGui13                                   #D77265
   1639  ptgui_13.3_trial_setup.exe                     PTGui_13                                  #D77265
   1623  ptgui_pro_12_x64_setup.tmp                     PTGui_Pro_12_X64_Setup                    #A568B3
   2577  pvz2.exe                                       PvZ2                                      #B05800
   2525  pvz2_ge_setup(v0.10.0).exe                     PvZ2_Gardendless                          #B05800
   2100  pycharm-2026.1.exe                             PyCharm                                   #00617A
   2101  pycharm64.exe                                  PyCharm                                   #00617A
    299  pycharm64.exe                                  PyCharm Community Edition                 #00657F
    972  python.exe                                     Python                                    #6EB1E8
    785  pythonw.exe                                    Python                                    #6EB1E8
   1481  python-3.10.6-amd64.exe                        Python 3.10.6 (64-bit)                    #6EB1E8
    620  q102 v1.0.tmp                                  Q102 v1.0                                 #C584E6
   2154  q5002 all6.tmp                                 Q5002 All6                                #D46E41
   1920  qbittorrent.exe                                qBittorrent                               #3D91F0
   1919  qbittorrent_5.1.0_qt6_lt20_x64_setup.exe       qBittorrent                               #D77265
   2115  qclaw-setup-0.2.10-5001-407.exe                QClaw                                     #B23120
   2116  qclaw.exe                                      QClaw                                     #B23120
   1740  qemu-system-x86_64.exe                         qemu-system-x86_64                        #0D4B74
   1126  mmc.exe                                        QoS 绛栫暐                                    #DC0D0A
    108  qq-9.9.16-29271-win64.exe                      QQ                                        #BE8409
      7  qq.exe                                         QQ                                        #ED2731
    860  mmc.exe                                        QQLiveService 鐨勫睘鎬?鏈湴璁＄畻鏈?                  #DC0D0A
    543  qqlivex.exe                                    QQLiveX                                   #008FEF
     70  qqscreenshot.exe                               QQScreenshot                              #0D4B74
    579  4491-2024-12-23051453-1734945293150.exe        QQ闊充箰                                      #816F00
    342  qmdriverhelperx64.exe                          QQ闊充箰                                      #7F6E00
     61  qqmusic.exe                                    QQ闊充箰                                      #7F6E00
   1683  qqmusicup.exe                                  QQ闊充箰                                      #26E4E4
   2449  mmc.exe                                        QQ闊充箰涓嶈仈缃?灞炴€?                               #DC0D0A
    684  qtscrcpy.exe                                   QtScrcpy                                  #6F8037
   1976  quark.exe                                      QuarkYQ                                   #004BE2
    447  lenovo modern imcontroller 鏈嶅姟鍗歌浇宸ュ叿.exe          QuickFix                                  #0032E8
    400  quickfixdesktoprightmenumodificationtool.exe   QuickFix                                  #0E57F6
   1185  quickfixsystemdiskspaceclearingtool.exe        QuickFix                                  #155BF2
   1971  quickfixwechatmultiopentool.exe                QuickFix                                  #004EF7
    399  win11妗岄潰鍙抽敭鑿滃崟淇敼宸ュ叿.exe                            QuickFix                                  #0E57F6
   1059  rvrvpngui.exe                                  Radmin VPN                                #00B4F1
   1917  radmin_lan_2.0.4899.9.exe                      Radmin VPN                                                    #00B4F1
   1058  radmin_lan_1.4.4642.1.tmp                      Radmin_LAN_1.4.4642.1                     #FAE903
   1439  rcd_ruanxing.tmp                               rcd_ruanxing                              #2EDA0B
   1574  rcd_ruanxing5.64.tmp                           rcd_ruanxing5.64                          #94016A
   1647  realityscan.exe                                RealityScan                               #0F090F
   2067  mmc.exe                                        Realtek PCIe GbE Family Controller 灞炴€?    #DC0D0A
   1579  mmc.exe                                        Redmi K70 Ultra 灞炴€?                       #DC0D0A
    306  mmc.exe                                        Redmi Note 12 5G 灞炴€?                      #DC0D0A
   1959  renamer.exe                                    ReNamer                                   #0000F1
   1257  renpyinjector-x64.exe                          RenpyInjector                             #0D4B74
   1255  renpythief.exe                                 RenpyThief                                #895501
   1801  res-downloader.exe                             res-downloader                            #9D7000
   1800  res-downloader_3.1.2_win_amd64.exe             res-downloader                            #9D7000
   1484  revokemsgpatcher.exe                           RevokeMsgPatcher                          #903F34
   1074  right click editor ie.exe                      Right Click Editor IE                     #26C0F8
   1070  right click enhancer.exe                       Right Click Enhancer                      #00B4FB
   1069  right-click-enhancer-setup.exe                 Right Click Enhancer                      #31AEED
    266  鍏ユⅵ宸ュ叿绠?exe                                      RM Toolbox                                #2865F3
    934  moo0宸ュ叿绠?exe                                    Rolan                                     #942C2C
   2326  roselink.exe                                   RoseLink                                  #080505
   2350  roselink-setup (1).tmp                         RoseLink                                                      #97B1F0
   2325  roselink-setup.tmp                             RoseLink                                                      #BE8991
    723  runtimebroker.exe                              Runtime Broker                            #0D4B74
   2551  rustup.exe                                     rustup                                    #0D4B74
   1487  rytunex.exe                                    RyTuneX                                   #BA0044
   1486  rytunexsetup.exe                               RyTuneX Setup                             #BA0044
   1781  s181 v1.0.0.4.tmp                              S181 v1.0.0.4                             #430286
    714  s278 v1.0.0.tmp                                S278 v1.0.0                               #AA07EA
    918  s282 v1.0.0.tmp                                S282 v1.0.0                               #409E36
    864  s32b v1.22mod.tmp                              S32B v1.22MOD                             #A709E4
   2120  sakuralauncher.exe                             SakuraFrp Windows 鍚姩鍣ㄧ晫闈?                  #FEFE00
   2119  sakuralauncher.tmp                             SakuraFrp 鍚姩鍣?                                                #44D4BC
   2135  secbox-amd64-installer-latest.exe              secbox                                    #01158B
   2136  secbox.exe                                     secbox                                    #01158B
    316  segametool.exe                                 SEGameTool                                #0D4B74
   1072  send to manager.exe                            Send to Manager                           #09CBFB
   1947  server.jar                                     server.jar                                #5A5AF9
   1079  setup.tmp                                      Setup                                     #72CD23
   1177  setup.exe                                      setup                                     #E1ED39
   2585  sihost.exe                                     Shell Infrastructure Host                 #0D4B74
   1932  shexview.exe                                   ShellExView                               #7F007F
   1982  榧犳爣鍗曞嚮鍙樺弻鍑绘祴璇曞櫒v2.0.exe                             ShuBiaoJiShuQi                            #F4A300
    555  sky.exe                                        Sky                                       #D05A15
    691  sk鍔╂墜2.0.0.9.exe                                SK鍔╂墜2.0.0                                 #710D00
     87  slbrowser.exe                                  SLBrowser                                 #0268A4
    370  mmc.exe                                        SLBService 鐨勫睘鎬?鏈湴璁＄畻鏈?                     #DC0D0A
    150  snipaste.exe                                   Snipaste                                  #951F1F
    312  sgwcontracts.exe                               Sniper Ghost Warrior Contracts            #EB050C
    196  snippingtool.exe                               Snipping Tool                             #A82E01
    654  setup64.exe                                    Software setup application                #00007F
   2167  solitaire.exe                                  Solitaire & Casual Games                  #008DFA
   2569  mmc.exe                                        SonarQube 鐨勫睘鎬?鏈湴璁＄畻鏈?                      #DC0D0A
    184  speedifyinstaller.exe                          Speedify                                  #00AEED
    185  speedifyui.exe                                 Speedify                                  #00AEED
    710  splitfiction.exe                               SplitFiction                              #0D0E1A
   1575  wadfngrv.exe                                   Spy Voice Recorder                        #915901
   2234  mmc.exe                                        SQL Server Analysis Services (MSSQLSERVER) 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   2235  mmc.exe                                        SQL Server Analysis Services CEIP (MSSQLSERVER) 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   2272  mmc.exe                                        SQL Server Browser 灞炴€?                    #DC0D0A
   2236  mmc.exe                                        SQL Server CEIP service (MSSQLSERVER) 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   2237  mmc.exe                                        SQL Server Integration Services 14.0 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   2238  mmc.exe                                        SQL Server Integration Services Scale Out Master 14.0 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   2239  mmc.exe                                        SQL Server VSS Writer 鐨勫睘鎬?鏈湴璁＄畻鏈?          #DC0D0A
   1654  update.exe                                     Squirrel                                  #0D4B74
    686  sskassit.exe                                   SSKAssit                                  #700D00
   1987  stackbuilder.exe                               StackBuilder                              #1D5D6E
   1140  star.exe                                       Star                                      #FEFE00
    396  starrail.exe                                   Star Rail                                 #F75C6C
   1138  start_for_wegame.exe                           START                                     #00F6F6
   1139  stgameopt.exe                                  START                                     #00F6F6
   1063  start_protected_game.exe                       start_protected_game                      #004A87
     62  startgame.exe                                  StartGame                                 #231727
    354  steam.exe                                      Steam                                     #05A5F6
      5  steamwebhelper.exe                             Steam Client WebHelper                    #05A5F6
   1690  vrwebhelper.exe                                SteamVR WebHelper                         #001E5B
     48  stellarhub.exe                                 StellarHub                                #107CF7
    693  bluetooth audio receiver installer.exe         Store Installer                           #0F79D5
   2593  chatgpt installer.exe                          Store Installer                           #0F79D5
   2243  detect-it-easy installer.exe                   Store Installer                           #0F79D5
    217  microsoft designer installer.exe               Store Installer                           #0F79D5
    901  natsurianko.fluentlauncher installer.exe       Store Installer                           #0F79D5
   1876  studentage.exe                                 StudentAge                                #0072F5
    936  studioneov2.exe                                StudioNEOV2                               #001980
   1563  sundy闊宠棰戞牸寮忚浆鎹㈠伐鍏?exe                             Sundy闊宠棰戞牸寮忚浆鎹㈠伐鍏?                           #62984D
   2579  superliminalsteam.exe                          SuperliminalSteam                         #E0AB1A
    202  sysclup.exe                                    SysClup Module                            #009CF6
   1214  autoruns64.exe                                 Sysinternals autoruns                     #003F70
    361  mmc.exe                                        SysMain 鐨勫睘鎬?鏈湴璁＄畻鏈?                        #DC0D0A
    801  systemsettingsbroker.exe                       System Settings Broker                    #0082EC
   1084  flet.exe                                       taichi                                    #24D00A
   1247  澶瀬.exe                                         taichi                                    #DB5E86
   1717  tailscale-ipn.exe                              Tailscale                                 #FC9700
   1436  youhoua.exe                                    tampermonkey                              #F1E616
    530  taslogin.exe                                   TASLogin Application                      #FEFE00
   1166  taslogin64.exe                                 TASLogin Application                      #FEFE00
    414  tblive.exe                                     tblive                                    #0D4B74
    692  tc games.exe                                   TC Games                                  #C152D2
    690  tc_games_3_0_update_4314547.exe                TC_Games_3_0_Update_4314547               #C152D2
     66  qqlivesetup_20_841.exe                         TencentVideo                              #B27C00
   1340  tencentvideoupgrade11.138.9784.0.exe           TencentVideo                              #C68E00
   2074  terraria.exe                                   Terraria                                  #1C6D38
   2279  mmc.exe                                        Text Input Management Service 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
    413  there is no greendam.exe                       There is No GreenDam                      #8F37F3
   1819  wsreset.exe                                    This tool resets the Windows Store without changing account settings or deleting installed apps  #0D3459
   2555  timeactivity.exe                               TimeActivity                              #0D4B74
   1873  tinyshadowsinterwovenhearts.exe                TinyShadowsInterwovenHearts               #BBD325
   2014  wish.exe                                       Tk 8.6 for Windows                        #F5C000
    326  toastfish.exe                                  ToastFish                                 #E30000
   1822  fish.exe                                       TODO: <浜у搧鍚?                               #007F00
   1265  islfilezilla.exe                               TODO: <浜у搧鍚?                               #FE0000
   1438  妤兼湀寰俊璇煶鎾斁鍣?exe                                  TODO: <浜у搧鍚?                               #518C58
   2158  togetherbnb-win64-shipping.exe                 TogetherBnB                               #77AB81
    842  translucenttb.exe                              TranslucentTB                             #729340
    634  tslgame.exe                                    TslGame                                   #23363E
   1329  tuanjiesetup64-2022.3.61t7.exe                 Tuanjie 1.6.6                             #163123
   1332  tuanjiedevopssetup.tmp                         Tuanjie Devops                                                #86E560
   1327  tuanjie hub.exe                                Tuanjie Hub                               #83828F
   1326  tuanjiehubsetup.exe                            Tuanjie Hub                               #C90FF8
   2157  nekopara_extra.exe                             TVP(KIRIKIRI) Z core / Scripting Platform for Win32  #FE0000
    885  txbugreport.exe                                TxBugReport                               #D50E00
   1224  typora.exe                                     Typora                                    #EEAAE5
   1233  typora-setup-x64-1.10.8.tmp                    Typora                                                        #F264A1
   1168  uagame.exe                                     UAGame                                    #00F9F9
    682  ubuntu2004.exe                                 ubuntu2004                                #F85D24
   2094  umodel.exe                                     umodel                                    #FE00FE
   2093  umodel_64.exe                                  umodel_64                                 #FE00FE
   2095  umodel_64_chs.exe                              umodel_64_CHS                             #FE00FE
    186  un.exe                                         Un                                        #0D4B74
    333  un_a.exe                                       Un_A                                      #0D4B74
    717  uninst.exe                                     uninst                                    #006DD3
     80  uninst.exe                                     uninstall                                 #2885F7
   1671  lovelorn sanatorium 鈪?exe                      Unity                                     #0D4B74
   1330  unity.exe                                      Unity                                     #2A1D9F
   1251  unity.vtuber.exe                               unity                                     #00B0F0
   1333  unitysetup64-2021.3.45f2c1.exe                 Unity 2021.3.45f2c1                       #D7DFAC
   1331  unitysetup64-2022.3.62f2c1.exe                 Unity 2022.3.62f2c1                       #5B9D6A
   1328  unity hub.exe                                  Unity Hub                                 #198F83
    542  mmc.exe                                        Unity Hub 灞炴€?                             #DC0D0A
   1418  2.鍘熺甯х巼瑙ｉ攣_nc.exe                                unlockfps_nc                              #FBFB00
    189  unlockfps_nc.exe                               unlockfps_nc                              #FBFB00
   1479  epicgameslauncher.exe                          Unreal Engine                             #0000FE
    540  mmc.exe                                        UnrealCEFSubProcess 灞炴€?                   #DC0D0A
   1646  unrealeditor.exe                               UnrealEditor                              #E55860
   1165  upgrader.exe                                   upgrader                                  #CE9000
   1109  upload_crash.exe                               upload_crash                              #2F739B
